GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.service,BackupService,698,0,32,0,139,0,29,0,13,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.service,AuthService,379,4,24,0,79,1,19,1,7,1
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.service,ConcursanteService,1035,1151,160,129,167,275,132,73,26,29
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.service,RateLimitingService.RateLimitResult,43,0,0,0,12,0,7,0,7,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.service,RateLimitingService,463,0,24,0,84,0,38,0,26,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.service,ProgramaService,722,0,78,0,182,0,64,0,21,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.service,PreguntaService,2809,0,366,0,585,0,252,0,69,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.service,SessionValidationService.SecurityLevel,44,0,0,0,5,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.dto,ApiResponse,21,0,0,0,3,0,3,0,3,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.dto,CrearCuestionarioDTO.PreguntaMultiplicadoraDTO,17,0,0,0,5,0,5,0,5,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.dto,MarcarNoUsadoDTO,31,0,0,0,9,0,9,0,9,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.dto,HistorialJornadaDTO,80,0,0,0,23,0,23,0,23,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.dto,ReaprovecharComboDTO,45,0,0,0,13,0,13,0,13,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.dto,CrearCuestionarioDTO,61,0,11,0,22,0,20,0,12,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.dto,PreguntaCreateDTO,3,0,0,0,1,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.dto,ErrorResponse,9,0,0,0,4,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.dto,CrearComboDTO,48,0,4,0,21,0,15,0,12,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.dto,AuthResponse,21,0,0,0,7,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.dto,CrearComboDTO.PreguntaMultiplicadoraDTO,17,0,0,0,5,0,5,0,5,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.validation,NoSpecialCharactersValidator,34,0,6,0,11,0,7,0,4,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.validation,NoLineBreaksValidator,20,0,6,0,5,0,6,0,3,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.validation,UpperCaseValidator,17,0,4,0,5,0,5,0,3,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,PreguntaCombo.PreguntaComboId,53,0,14,0,6,0,9,0,2,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,AuditLog.EntityType,94,0,0,0,10,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Cuestionario.NivelCuestionario,103,0,0,0,7,0,3,0,3,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Pregunta,4,0,0,0,2,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,EstadoConcursante,0,54,0,0,0,6,0,1,0,1
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Pregunta.EstadoPregunta,0,94,0,0,0,2,0,1,0,1
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,AuditLog.OperationType,134,0,0,0,14,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Cuestionario.EstadoCuestionario,0,64,0,0,0,2,0,1,0,1
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,PreguntaCuestionario.PreguntaCuestionarioId,56,0,14,0,7,0,10,0,3,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Tematica,19,0,2,0,8,0,3,0,2,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,AuditLog.OperationResult,44,0,0,0,5,0,1,0,1,0
